"sample","Astrocyte","Oligodendrocyte","Mphage/Microglia","Neuron","Endothelial","Ependymal","OPC","Radial Glia","Plasma B cell","Eosino-/Neutrophils","T Cells/NK Cells"
"P457v3",-0.0209134556960458,0.333703654395536,0.0343936841971423,-0.0518374440544724,-0.0329743405161382,-0.00649949618440087,-0.0475204278309956,-0.039650243353002,0.0614188517977465,0.0466459990788745,-0.0188784298821528
"P457v6",-0.0462723397681894,0.22015322895054,0.140996894762679,-0.0548300062041418,0.00930190017203875,-0.00665515422308808,-0.0719282899145898,-0.0487149501603313,0.0810843674788336,0.0562380687425696,-0.00953274996333883
"P457v8",-0.0486790079959963,-0.0421750786450566,0.030298779627894,-0.0508839710648438,-0.0466819446906461,-0.00261746963165879,-0.0580343522702246,-0.0291113112996806,-0.0235798237208268,0.0513727228913431,-0.0173922022685474
"P457v9",-0.0640848261595721,-0.0400071933561802,0.000934122677885404,-0.0722109201929875,-0.0871748107268474,-0.000126380896796918,-0.108917614350112,-0.0409101722584301,0.0166027849786504,0.0455512788468683,0.0692175801109352
"P457v10",-0.0621937791442212,-0.0458202372166731,0.0662263807289269,-0.066800642765021,-0.0686827624567155,0.00204190604379325,-0.0533448180890476,-0.0279311210125259,0.0382689287482775,0.0882321202915406,0.000142981086841676
"P475v1",-0.0691649984421046,-0.0372164627698496,-0.0411834998982458,0.134195695589376,-0.0745482046619371,0.0564244009888735,0.0614797451333805,0.0950976187720528,-0.06823140072495,0.0197152680185738,-0.031935179378828
"P475v2",-0.0906818919247547,-0.0359141051750241,-0.0590813363925022,0.0913197817321975,-0.0650463312016335,0.0228497382299807,0.0946035974542135,0.159642625374256,-0.0702286628514772,-0.0169109050061453,0.0214577951015782
"P475v3",-0.0704766720596931,-0.0393210756569514,-0.0474920932443472,0.0540566707609863,-0.0797380959848492,0.485034325985036,0.0648399083508867,0.078924671614351,-0.0631549275395786,0.00829052909706013,-0.0132077532389059
"P475v5",-0.053094398499809,-0.0419075001039342,0.0116121067075693,-0.047871776925193,-0.0136356856274832,0.865290010141415,-0.015437445046764,-0.0124888029436208,-0.0258546460499267,0.0712454471010678,-0.000438007969615151
"P475v6",-0.076696045736757,0.0347264056181511,0.141913923995488,0.0166503982302098,0.0325038294492397,0.00734702707538826,-0.0256341239103969,0.0241665261471974,-0.00979085435079628,0.150767927717668,0.138693809209515
