""	"Angiogenesis"	"Apoptosis"	"Cell_Cycle"	"Differentiation"	"DNA_damage"	"DNA_repair"	"EMT"	"Hypoxia"	"Inflammation"	"Invasion"	"Metastasis"	"Proliferation"	"Quiescence"	"Stemness"
"P300v5"	-0.171965475920142	-0.145646930670619	-0.469936268400304	-0.066527459764119	-0.115792486940033	-0.000636882066463612	-0.176742189344725	-0.180229941312719	-0.142076337733874	-0.324617632337825	-0.22638507282632	0.180221574981206	-0.163543361354169	-0.10431885085865
"P300v6"	-0.212727116258798	-0.265212231997219	-0.462737623402291	-0.172649384295842	-0.21651160633072	-0.269135976163419	-0.349865130156057	-0.24464888669609	-0.318229358622361	-0.396654870934108	-0.298680683314801	-0.287308196250893	-0.237069842925316	-0.131137776877917
"P300v7"	-0.25598999297296	-0.191880122920013	-0.399377517053701	-0.179041339794008	0.0443379294824853	0.131407152612576	-0.320193370824541	-0.309051156947268	-0.234826383698971	-0.298807242193596	-0.253018091843247	-0.0300700691072124	-0.270807526155237	-0.0658312829625413
"P300v8"	-0.226737986744226	-0.125625784057638	-0.486954452592077	-0.0657226450303441	-0.0279295383825359	0.0305730209372101	-0.29978405214375	-0.221671573616029	-0.0436365784195152	-0.342916881836658	-0.206824819116947	0.0300275795769232	-0.116191181388494	-0.013121448476878
"P300v10"	-0.168476834058794	-0.148924661046201	-0.404372218807536	-0.138936691290106	-0.024717306473425	0.126528841628726	-0.278050421112016	-0.168563929218317	-0.044809470761498	-0.321399720885119	-0.220058698589671	-0.0108004585330374	0.0231047630966834	0.0232226786363092
"P41V"	-0.0148662160962792	-0.0498863366033053	-0.278329684583822	0.0491808891766608	0.116525592230894	0.291167560093358	-0.135916150042285	-0.140806224620005	-0.27502536481991	-0.301990734309046	-0.0382279484070793	-0.0290998990474158	-0.000679926020625462	0.243142388638307
"P41P"	-0.111432865308749	-0.135748312135492	-0.32190005579662	-0.0506552110746077	-0.0718155970449614	-0.00116967253160241	-0.224103308717184	-0.257262095548739	-0.229237204073852	-0.333449074544555	-0.151150344333188	-0.199045146229791	-0.0191286080792003	0.189658762670627
"P41Y"	0.334338338554933	-0.0811345593497201	-0.392772102750721	0.0732958416486565	0.0272746561949296	0.0534658510467071	-0.020327703974177	-0.0735134533652113	-0.271732990522625	-0.220146587556044	0.0670118384395538	0.0730608001440884	0.00827897922884083	0.251149649414557
"P41G"	0.211796254086062	-0.0710814321733039	-0.40920499173865	0.047161882994894	0.0318240257160121	0.0553646156837489	-0.101482470494721	-0.086057896233802	-0.307156486657536	-0.263880197394463	0.0140202939455184	0.0164490231664415	-0.0366330935339507	0.212115120743811
"P41v5"	-0.00854549634219759	-0.231885241139663	-0.431717295035555	-0.0765415722846626	-0.130282778572995	-0.13276678309333	-0.216097792009345	-0.234551380448836	-0.324312909874389	-0.37921550599902	-0.132782628863255	-0.103997587150261	-0.133781975921188	0.0928954052941353
"P41v6"	-0.139818112180078	-0.143957485962079	-0.37623256466668	-0.0361654489305545	-0.032163323646237	0.0118165820202388	-0.173067486851042	-0.205549426158261	-0.239927927790267	-0.252018634487236	-0.0537540963777239	-0.0461002866210206	-0.0683173917904904	0.113386321840955
"P41v7"	-0.162341703517069	-0.257415354840404	-0.421516241673757	-0.0633322111286837	-0.134698092263391	-0.0519814251822165	-0.204886603903605	-0.151073358385745	-0.349363213313429	-0.385470560957458	-0.193184962417992	-0.145416133219254	-0.0295988900043063	0.125128679038785
"P41v8"	-0.269608398343357	-0.329236631059246	-0.442999956015293	-0.198405817847183	-0.249494017188484	-0.205699798625152	-0.297968296712771	-0.278998587285255	-0.394679621803939	-0.424877127677825	-0.257661836620369	-0.24224731396774	-0.222099907951584	-0.00529766526292388
"P41v9"	-0.131792303093167	-0.219519364753398	-0.415811591895008	-0.138999803319234	-0.0826002071127881	-0.120435633049153	-0.226956576340624	-0.237215357689869	-0.278576896432557	-0.295687766702774	-0.130091290621905	-0.0956992059862561	-0.173997002871798	0.0283092758261641
"P340v1"	-0.10243063641595	0.152309026664998	-0.418676129607351	-0.0408413966159322	-0.15682863383139	-0.152445180958969	-0.157924678701352	0.0842296541605821	-0.0344116419397709	-0.219073491750378	-0.148180219383377	-0.190342904750929	-0.186001815044304	-0.0965253130755089
"P340v2"	-0.0816556492821479	-0.147419183127519	-0.528494163708717	-0.00572373348026823	-0.398455054745461	-0.382787571702924	-0.256163706285954	0.0386822443502201	-0.318626061518504	-0.248788683444716	-0.309413709486883	-0.297666933828025	-0.156921015946211	-0.0740014547046694
"P340v3"	-0.133825987749879	-0.07355007728848	-0.45900294232086	-0.1016510555451	-0.214823540681001	-0.281704657739926	-0.335272520318169	-0.229793922350378	-0.13634065852624	-0.278575842220994	-0.193125748672753	-0.246562686980062	-0.196040791610706	-0.110040130519575
"P340v4"	-0.0798102433180665	0.169300287473244	-0.422516761907385	0.0210975904494704	-0.153748648945821	-0.158247809877931	-0.138141680672031	0.0623687216780189	0.0436144044393005	-0.189235506806872	-0.159738039112112	-0.14622212781908	-0.0722138489246703	0.0409523178265892
"P340v5"	0.0529109270734833	0.103459832253323	-0.460148073408888	-0.0433089399452893	-0.156908210737608	-0.274118560056499	-0.233883751625747	0.0083536061417313	-0.0573097170048704	-0.185648459514395	-0.205470667901193	-0.278700258971345	-0.0800149626204319	-0.0726787678190097
"P340v6"	-0.0676316983593275	-0.00124299006471552	-0.490595733274853	-0.0988069484412534	-0.197214463997744	-0.287922964881947	-0.291917716002422	-0.0688729409810413	-0.139146642252298	-0.28854111094389	-0.239258445312659	-0.285088629028991	-0.15838071999454	-0.11532556344426
"P340v7"	-0.0341188451492064	0.11914980180785	-0.427434677226149	-0.0325820798775935	-0.144772300672225	-0.14087279224	-0.149149460577971	0.0604061272330193	-0.0697764348130405	-0.203422967258002	-0.149126894412773	-0.218661420617391	-0.0837773335850676	-0.0483492245656412
"P340v8"	-0.158388214008113	-0.0976659078478428	-0.317081693012085	-0.19543766061722	-0.159862323860637	-0.125249180125482	-0.347656901318451	-0.338512118640931	-0.2474586448512	-0.247932128892261	-0.191117854799817	-0.309244593494107	-0.262722255661247	-0.0485971902101009
"P340v9"	-0.0412871190014341	-0.222934272756831	-0.537503806751224	-0.192113295332645	-0.169317020677779	-0.325456223208086	-0.368962955908574	-0.20613690823683	-0.308042278201109	-0.34537965943345	-0.27118221562817	-0.195609544766941	-0.335063129255616	-0.148967596199584
"P340v10"	-0.138191736181731	-0.222019238300078	-0.4396777956859	-0.179991963287803	-0.299842252085888	-0.393274303684252	-0.311677728071123	-0.129103900507806	-0.303196230818622	-0.358921736041549	-0.226583753101449	-0.270098406257812	-0.277198104840397	-0.0616556375441062
"P302v1"	-0.0782970482725239	-0.237064813128961	-0.474166449514409	-0.174921313171552	-0.319279503301858	-0.432500922222902	-0.228381025736276	-0.132604695757262	-0.259370145434289	-0.253497437630826	-0.202119067847677	-0.250754401436933	-0.209244311957359	-0.154111819552819
"P302v2"	-0.0704381163714703	-0.220279853771942	-0.287535913573736	-0.138584076731007	-0.0694329509513184	-0.0210161582628124	-0.228071080534376	-0.171443079310536	-0.334688915483338	-0.251085736378783	-0.174963722663743	-0.128830033169586	-0.274918736364811	-0.0911192175811122
"P302v3"	-0.0414465010769556	-0.122543197374754	-0.399154170931642	-0.148728959026337	-0.317247757653813	-0.330574848991297	-0.108660022426505	-0.0604072181582698	-0.201811343181649	-0.0977927871673565	-0.103216773388015	-0.158232272182724	-0.192205351401711	-0.168263512205635
"P302v4"	0.0434025666102904	-0.0982922531094575	-0.339493385181694	-0.10262112811838	-0.191737757042018	-0.177924460917339	-0.0965933333537969	0.0933598928954015	-0.175023933497786	-0.0912119273436117	-0.0888315611629339	-0.117223935300795	-0.213463553190975	-0.161245359226041
"P302v5"	0.0440302175430851	-0.259838614311065	-0.0998312422605582	-0.222143278407348	-0.0230016214073873	0.0168756167815704	-0.201194838210187	-0.247317700544573	-0.351267839623363	-0.160878047271856	-0.148292859646088	-0.0481070094218034	-0.239236185936782	-0.0352920498073479
"P302v6"	0.130876599134328	-0.114608967040772	-0.305861881335916	-0.0741187988709836	-0.152291238918479	-0.0953286250852488	-0.0361314039199575	0.0208306616797197	-0.213590692826243	-0.0361537900081257	-0.0721256402396955	-0.0406209700740526	-0.158587295962002	-0.0570428038559052
"P302v7"	0.514999609733254	0.683602201136497	-0.508499149094099	0.568562667795295	0.0479842489379485	-0.373010518209205	0.0588700914862988	0.467920993098314	1.71426412974877	0.194042985940667	0.603130737070668	0.406497135954232	1.41105792173858	0.303011540743007
"P302v9"	0.102103484059929	-0.161537910589903	-0.280219007097078	-0.0791734892806484	-0.152282463903174	-0.104113878797702	-0.0878340612011547	-0.0803129700244272	-0.26526992048746	-0.119721434467112	-0.100164750594799	-0.100359335276376	-0.235964571423121	-0.0847195090170194
"P302v10"	0.427915481155575	-0.0559641785997838	-0.406816061715907	0.011074031844331	-0.212419490711066	-0.302037548540398	-0.0458520688725341	0.118776415136596	0.0966267729695609	-0.0584831030894964	0.045866381710646	-0.011911944880021	0.12292837749641	-0.0472907160032987
"P302v11"	0.113469366648505	-0.121665351508259	-0.323762172704748	-0.0771882596500092	-0.12005929545208	-0.0952456781147374	-0.0484382397690185	0.0716375407498273	-0.185491066152543	-0.0499981657010919	-0.0925227392519645	-0.0295074419159237	-0.139717833851148	-0.0867356786806025
"P450v1"	-0.154696991083269	-0.151579169823987	-0.02647915681374	-0.142469255885857	-0.0219101235308806	0.155688610093846	-0.248852250621973	-0.292826274611824	-0.364433015229851	-0.28677924911587	-0.192416952050397	-0.184972569325016	-0.213133698435954	0.00967212372657508
"P450v2"	-0.110726437822851	-0.155936335461217	-0.165852056153207	-0.228584738738905	0.180369260390601	0.246636156063842	-0.354990138838426	-0.190506443913563	-0.376905295969139	-0.349182194034899	-0.238137783946363	-0.155144785795095	-0.183508052774009	0.0910410379838118
"P450v3"	-0.115506408849144	-0.209830911490537	-0.224517778573856	-0.286975517944122	0.154607600548465	0.258585541451058	-0.388471781037681	-0.314979659027104	-0.446132070152403	-0.357472377725473	-0.268799838893149	-0.235892639822098	-0.196966479972293	0.156705624925038
"P450v4"	-0.213044087051134	-0.263084237640607	-0.445894956090446	-0.221378612099861	-0.253021727127225	-0.250910240731819	-0.306600862180506	-0.236658868765083	-0.404423485704067	-0.285313692326411	-0.287590866683712	-0.288299763160076	-0.284839873529265	-0.0865461688839674
"P450v5"	-0.209098610220958	-0.224594749204978	-0.493319015630448	-0.186083315861855	-0.261744595468849	-0.309860840744789	-0.306288924538875	-0.226168317513337	-0.313140372558212	-0.313923617721082	-0.266156989019242	-0.299027443058375	-0.208695521889498	-0.125885659388599
"P450v6"	-0.243957335188784	-0.202997941067288	-0.453450716881365	-0.19695848527872	-0.215113889475446	-0.218444987493228	-0.31321719542725	-0.292542769857728	-0.324319987545016	-0.289779104330081	-0.276372350181456	-0.271628846234484	-0.306398038524316	-0.126137360797417
"P450v7"	-0.165276773127492	-0.197115155269804	-0.219525938483405	-0.151171236418476	-0.0850069229542961	-0.0478009833006063	-0.273840130899419	-0.241546040954838	-0.388932304163344	-0.265885690854531	-0.277178695976727	-0.25758784483391	-0.179355769697464	-0.00408826118055145
"P450v8"	-0.21948314907967	-0.0980673922513945	0.032969220508719	-0.132629121694467	0.36094017051065	0.502183607698865	-0.279084326469892	-0.227523254048336	-0.437745623515335	-0.240469564146971	-0.216521750849287	-0.103472237975263	-0.202009940645064	0.16238833625405
"P450v9"	-0.192747326842467	-0.224953420583358	-0.350115954553131	-0.207403925395477	-0.232512735372692	-0.25229843895436	-0.278709478838129	-0.229284846686857	-0.331830244467244	-0.318339968586075	-0.269382162060038	-0.304181244514343	-0.313334472069712	-0.122957190146904
